driver,shift_ID,start_time,event_time,shift_length,time2event
canj1,1,2015-10-23T08:09:26Z,2015-10-23T14:46:08Z,10.4666666666667,6.6
canj1,2,2015-10-26T07:49:04Z,2015-10-26T15:06:03Z,7.28333333333333,7.26666666666667
canj1,4,2015-10-28T08:05:08Z,2015-10-28T11:58:24Z,12.25,3.88333333333333
canj1,4,2015-10-28T08:05:08Z,2015-10-28T17:42:36Z,12.25,9.61666666666667
canj1,7,2015-11-02T06:26:48Z,2015-11-02T07:13:56Z,13.6666666666667,0.783333333333333
canj1,9,2015-11-04T07:57:26Z,2015-11-04T08:35:29Z,3.41666666666667,0.633333333333333
canj1,12,2015-11-06T10:19:40Z,2015-11-06T11:32:11Z,11.05,1.2
canj1,14,2015-11-09T08:24:26Z,2015-11-09T19:21:13Z,13.2166666666667,10.9333333333333
canj1,16,2015-11-11T08:27:20Z,2015-11-11T15:51:07Z,10.9,7.38333333333333
canj1,21,2015-11-18T06:23:32Z,2015-11-18T15:49:17Z,12.8666666666667,9.41666666666667
farj7,12,2016-03-09T05:48:34Z,2016-03-09T08:54:42Z,13.7,3.1
farj7,12,2016-03-09T05:48:34Z,2016-03-09T17:12:54Z,13.7,11.4
farj7,12,2016-03-09T05:48:34Z,2016-03-09T17:34:20Z,13.7,11.75
farj7,13,2016-03-10T07:46:40Z,2016-03-10T16:26:12Z,13.3,8.65
farj7,14,2016-03-13T08:38:10Z,2016-03-13T15:58:10Z,12.1333333333333,7.33333333333333
gres0,3,2015-04-08T07:12:06Z,2015-04-08T09:53:43Z,3.08333333333333,2.68333333333333
gres0,11,2015-08-26T07:09:20Z,2015-08-26T11:33:21Z,9.31666666666667,4.4
gres0,11,2015-08-26T07:09:20Z,2015-08-26T13:29:12Z,9.31666666666667,6.31666666666667
gres0,11,2015-08-26T07:09:20Z,2015-08-26T16:18:47Z,9.31666666666667,9.15
gres0,15,2015-08-31T06:48:46Z,2015-08-31T08:36:13Z,10.9833333333333,1.78333333333333
hunt,12,2016-03-01T07:47:10Z,2016-03-01T08:08:47Z,8.91666666666667,0.35
hunt,13,2016-03-02T03:27:22Z,2016-03-02T10:47:46Z,13.5,7.33333333333333
hunt,15,2016-03-07T13:01:28Z,2016-03-07T16:14:24Z,3.75,3.2
kell0,4,2016-02-07T07:45:40Z,2016-02-07T13:27:14Z,12.7,5.68333333333333
kell0,6,2016-02-09T06:25:08Z,2016-02-09T12:08:58Z,13.3166666666667,5.71666666666667
kell0,7,2016-02-12T08:01:16Z,2016-02-12T08:36:13Z,1.65,0.566666666666667
lewr10,8,2015-05-18T16:54:26Z,2015-05-18T17:44:20Z,9.65,0.816666666666667
lewr10,8,2015-05-18T16:54:26Z,2015-05-18T21:46:43Z,9.65,4.86666666666667
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T17:34:13Z,8.85,0.000166666666666667
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T18:03:50Z,8.85,0.5
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T19:03:21Z,8.85,1.48333333333333
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T19:04:55Z,8.85,1.51666666666667
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T19:59:58Z,8.85,2.43333333333333
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T20:48:18Z,8.85,3.23333333333333
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T20:49:03Z,8.85,3.25
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T20:50:38Z,8.85,3.28333333333333
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T22:29:21Z,8.85,4.91666666666667
lewr10,10,2015-05-31T17:33:34Z,2015-05-31T23:50:21Z,8.85,6.26666666666667
lewr10,11,2015-06-01T17:26:54Z,2015-06-01T17:36:16Z,11.8833333333333,0.15
rice30,7,2015-04-11T09:57:26Z,2015-04-11T17:00:39Z,13.7,7.05
rice30,8,2015-04-12T09:53:50Z,2015-04-12T13:57:58Z,10.7833333333333,4.06666666666667
rice30,9,2015-04-13T09:53:42Z,2015-04-13T22:01:45Z,12.1333333333333,12.1333333333333
rice30,11,2015-04-15T10:38:08Z,2015-04-15T11:15:51Z,13.65,0.616666666666667
rice30,11,2015-04-15T10:38:08Z,2015-04-15T11:19:29Z,13.65,0.683333333333333
rice30,12,2015-04-16T10:30:28Z,2015-04-16T13:25:05Z,3.78333333333333,2.9
rice30,12,2015-04-16T10:30:28Z,2015-04-16T14:17:08Z,3.78333333333333,3.76666666666667
rice30,15,2015-04-22T08:56:14Z,2015-04-22T16:28:15Z,8.11666666666667,7.53333333333333
rice30,15,2015-04-22T08:56:14Z,2015-04-22T16:30:47Z,8.11666666666667,7.56666666666667
smiv,2,2015-07-29T08:35:00Z,2015-07-29T16:56:38Z,8.93333333333333,8.35
smiv,2,2015-07-29T08:35:00Z,2015-07-29T16:57:10Z,8.93333333333333,8.36666666666667
smiv,2,2015-07-29T08:35:00Z,2015-07-29T17:00:03Z,8.93333333333333,8.41666666666667
smiv,4,2015-08-01T07:13:02Z,2015-08-01T08:38:13Z,13.15,1.41666666666667
smiv,6,2015-08-05T07:25:14Z,2015-08-05T07:32:38Z,10.45,0.116666666666667
smiv,11,2015-08-12T07:15:06Z,2015-08-12T10:03:15Z,11.8333333333333,2.8
smiv,15,2015-08-18T07:16:02Z,2015-08-18T12:52:42Z,8.58333333333333,5.6
smiv,22,2015-08-27T07:09:54Z,2015-08-27T08:54:13Z,11.1666666666667,1.73333333333333
sunc,15,2016-01-10T11:05:58Z,2016-01-10T13:17:57Z,7.68333333333333,2.18333333333333
sunc,15,2016-01-10T11:05:58Z,2016-01-10T13:56:12Z,7.68333333333333,2.83333333333333
sunc,18,2016-01-13T10:55:50Z,2016-01-13T23:40:47Z,12.9166666666667,12.7333333333333
sunc,22,2016-01-18T20:53:28Z,2016-01-18T21:04:38Z,0.733333333333333,0.183333333333333
sunc,22,2016-01-18T20:53:28Z,2016-01-18T21:06:51Z,0.733333333333333,0.216666666666667
sunc,22,2016-01-18T20:53:28Z,2016-01-18T21:29:27Z,0.733333333333333,0.583333333333333
sunc,23,2016-01-19T12:43:44Z,2016-01-19T13:47:46Z,3.26666666666667,1.06666666666667
woow59,13,2015-05-10T09:59:22Z,2015-05-10T10:05:34Z,9.13333333333333,0.1
woow59,13,2015-05-10T09:59:22Z,2015-05-10T10:06:19Z,9.13333333333333,0.1
woow59,13,2015-05-10T09:59:22Z,2015-05-10T10:22:04Z,9.13333333333333,0.366666666666667
woow59,17,2015-05-14T07:58:12Z,2015-05-14T12:43:46Z,11.7666666666667,4.75
woow59,17,2015-05-14T07:58:12Z,2015-05-14T13:03:55Z,11.7666666666667,5.08333333333333
woow59,25,2015-05-27T08:50:10Z,2015-05-27T09:51:36Z,12.6666666666667,1.01666666666667
woow59,28,2015-05-30T06:20:32Z,2015-05-30T15:35:25Z,12.7,9.23333333333333
